53.1937,64.2512,red
38.5264,62.8370,red
44.1450,64.0992,red
70.8348,68.8888,red
67.6412,69.2689,red
73.5779,66.6080,red
67.4947,64.2512,red
69.8519,66.5320,red
87.8160,64.7853,red
80.4402,68.5866,red
83.3297,63.0367,red
87.8160,53.8376,red
68.0458,53.7616,red
67.9697,48.5159,red
77.0184,46.4632,red
68.0458,46.3872,red
62.1907,46.4632,red
56.0315,35.3635,red
40.3674,22.8193,red
28.7115,23.1128,red
31.0008,23.1010,red
38.3998,41.3710,red
38.4953,30.6380,red
37.1587,23.2441,red
45.5602,23.1010,red
51.5749,23.1010,red
56.2530,23.1010,red
56.2530,28.0620,red
56.2530,43.1836,red
56.2530,49.0987,red
56.2530,45.9027,red
48.5675,49.0987,red
38.4493,49.1381,red
38.4493,54.4992,red
85.5898,23.3274,red
85.5898,27.3483,red
85.5898,36.7782,red
85.5898,40.1768,red
85.5898,46.3995,red
85.5832,54.4610,red
85.5349,59.2327,red
75.3576,59.0881,red
67.5920,59.0881,red
65.3731,64.0603,red
