sensor_0,39.7758,55.6234
sensor_1,38.1562,64.9179
sensor_2,48.6142,63.3919
sensor_3,61.0157,65.3341
sensor_4,68.6972,61.6810
sensor_5,75.6943,57.3015
sensor_6,80.5288,65.4480
sensor_7,89.5669,62.1434
sensor_8,86.4504,52.1924
sensor_9,86.5951,42.0223
sensor_10,84.4728,32.7197
sensor_11,87.2703,25.3452
sensor_12,81.0964,45.6372
sensor_13,70.7745,45.6854
sensor_14,61.9959,51.8550
sensor_15,57.4138,40.1425
sensor_16,55.1950,31.9003
sensor_17,57.0279,22.5014
sensor_18,45.7895,24.3330
sensor_19,33.3452,22.5496
sensor_20,39.5673,28.4300
sensor_21,37.3004,36.9131
sensor_22,35.8534,46.2156
sensor_23,47.9117,45.2034
